Ministere / Entite;Acheteur;Libelle du projet achat;Code nomenclature Etat; Libelle nomenclature Etat;Perimetre organisationnel;Perimetre geographique;Region si perimetre geographique regional;Date envisagee pour la notification;Duree envisagee en mois, toutes periodes incluses hors garantie;Montant previsionnel HT (toutes periodes de reconduction incluses);annee
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Lyon;Marche e bons de commande pour l'execution de travaux d'entretien et d'adaptation mineure tous corps d'etats - BDD VALENCE - Antenne de Valence de l'USID de LYON - Departements de la Dreme et de l'Ardeche MARCHE 4 : ETANCHEITE, CHARPENTE, COUVERTURE ET CHARPENTE, COUVERTURE METAL;36.02.03;Travaux de rehabilitation betiment;Ministeriel;Regional ou infra;AUVERGNE RHONE ALPES;2020 3eme trim;48;entre 1 MEuros et 10 MEuros;2020
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Lyon;Marche e bons de commande pour l'execution de travaux d'entretien et d'adaptation mineure tous corps d'etats - BDD VALENCE - Antenne de Valence de l'USID de LYON - Departements de la Dreme et de l'Ardeche MARCHE 6 : ELECTRICITE;36.02.03;Travaux de rehabilitation betiment;Ministeriel;Regional ou infra;AUVERGNE RHONE ALPES;2020 3eme trim;48;entre 1 MEuros et 10 MEuros;2020
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Lyon;MBC pour l'execution de travaux d'entretien et d'adaptation tous corps d'etat BDD CFD - secteur MOULINS LOT 3 : Menuiseries et amenagements interieurs;36.02.03;Travaux de rehabilitation betiment;Ministeriel;Regional ou infra;AUVERGNE RHONE ALPES;2020 4eme trim;48;entre 100 KEuros et 1 MEuros;2020
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Bordeaux;"16- ANGOULEME - BDD ANGOULEME - Maintenance des systemes de securite incendie et intrusion niv 1 e 5 + petits travaux d'adaptation capacitaire et maintenance GTB Lot ne1 - maintenance incendie et intrusion ; Lot ne2 - maintenance des GTB tous types";37.02.12;Maintenance instal materiel de securite (acces, alarme);Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2018 decembre;48;entre 100 KEuros et 1 MEuros;2018
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Bordeaux;33 - BORDEAUX - MERIGNAC - mise e niveau cleture et dispositif de detection intrusion;36.02.04;Travaux de mise aux normes betiment;Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2018 decembre;12;entre 100 KEuros et 1 MEuros;2018
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Bordeaux;33 - BORDEAUX - MERIGNAC -BA 106 - Rehabilitation des reseaux AEP et geothermie;36.03.04;Travaux de construction de VRD, ouvrages annexes;Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2021 4eme trim;12;entre 1 MEuros et 10 MEuros;2021
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Bordeaux;33 - BORDEAUX - BDD BORDEAUX - MERIGNAC - Marche e bons de commande sur bordereau de prix unitaires- Marche de Travaux-Ferronerie-Metallerie;37.03.01;Petits travaux de metallerie et serrurerie;Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2020 2nd trim;48;entre 1 MEuros et 10 MEuros;2020
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Bordeaux;33 - BORDEAUX - BDD BORDEAUX - MERIGNAC - Exploitation, maintenance des installations de chauffage, de production d'ECS, de climatisation et rafraechissement d'air, de VMC, convecteurs electriques, extraction d'air, hottes et plafonds filtrants, de disconnecteurs et clapets anti-retour, d'adoucisseurs d'eau;37.02.02;Maintenance chauffage, ventilation, climatisation (CVC);Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2021 4eme trim;48;entre 1 MEuros et 10 MEuros;2021
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Bordeaux;33 - BORDEAUX - BDD BORDEAUX - MERIGNAC - Accord cadre e Bons de Commande - Maintenance des portes et portails de la BdD de Bordeaux Merignac;37.02.06;Maintenance portes et portails;Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2021 4eme trim;48;entre 100 KEuros et 1 MEuros;2021
Plateformes regionales des achats de l'Etat;PFRA CENTRE VAL DE LOIRE;Accord cadre relatif e lehebergement de personnes en situation de precarite;35.03.07;Frais hetels et hebergement;Interministeriel;Regional ou infra;CENTRE VAL DE LOIRE;2019 3eme trim;48;entre 100 KEuros et 1 MEuros;2019
Plateformes regionales des achats de l'Etat;PFRA CORSE;Maintenance instal electr (courant faible et fort, HT-BT);37.02.01;Maintenance instal electr (courant faible et fort, HT-BT);Interministeriel;Inter-regionnal;Corse;2018 octobre;48;A determiner;2018
Plateformes regionales des achats de l'Etat;PFRA CORSE;Maintenance plomberie et assainissement interieur;37.02.03;Maintenance plomberie;Interministeriel;Regional ou infra;Corse;2018 octobre;48;A determiner;2018
Plateformes regionales des achats de l'Etat;PFRA CORSE;Prestations de traiteur;41.04.05;Prestations de traiteur;Interministeriel;Regional ou infra;Corse;2020 2nd trim;48;A determiner;2020
Plateformes regionales des achats de l'Etat;PFRA GRAND EST;Maintenance instal systeme de securite incendie (SSI);37.02.08;Maintenance instal systeme de securite incendie (SSI);Interministeriel;Regional ou infra;GRAND EST;2019 4eme trim;48;entre 100 KEuros et 1 MEuros;2019
Plateformes regionales des achats de l'Etat;PFRA GRAND EST;Maintenance materiel de restauration;41.04.07;Maintenance materiel de restauration;Interministeriel;Regional ou infra;GRAND EST;2019 2nd trim;48;entre 1 MEuros et 10 MEuros;2019
Plateformes regionales des achats de l'Etat;PFRA GRAND EST;Destruction securisee de papiers;41.06.01;Collect, traitement dechet non dang, yc dechets indus banals;Interministeriel;Regional ou infra;GRAND EST;2019 2nd trim;48;A determiner;2019
Plateformes regionales des achats de l'Etat;PFRA GRAND EST;Petits travaux de pletrerie-plafonds;37.03.04;Petits travaux de maeonnerie, cloisons, pleterie, carrelage;Interministeriel;Regional ou infra;GRAND EST;2019 1er trim;48;A determiner;2019
Plateformes regionales des achats de l'Etat;PFRA GRAND EST;Conseil expertise juridique;40.03.01;Conseil et expertise juridique;Interministeriel;Regional ou infra;GRAND EST;2019 2nd trim;48;A determiner;2019
Plateformes regionales des achats de l'Etat;PFRA HAUTS DE France;Transport de fonds et d'objets d'art (ex PG 05,06,01);35.02.07;Transport de fonds et d'objets d'art;Interministeriel;Regional ou infra;HAUTS DE France;2020 3eme trim;48;entre 1 MEuros et 10 MEuros;2020
Plateformes regionales des achats de l'Etat;PFRA HAUTS DE France;Prestation de maetrise d'euvre (MOE);36.04.02;Prestation  de maetrise d'euvre (MOE);Interministeriel;Regional ou infra;HAUTS DE France;2020 2nd trim;48;entre 1 MEuros et 10 MEuros;2020
Plateformes regionales des achats de l'Etat;PFRA HAUTS DE France;Deratisation, desinfection, desinsectisation;37.01.06;Deratisation, desinfection, desinsectisation;Interministeriel;Regional ou infra;HAUTS DE France;2020 4eme trim;48;entre 100 KEuros et 1 MEuros;2020
Plateformes regionales des achats de l'Etat;PFRA HAUTS DE France;Prestation de mise sous plis et routage;35.01.08;Prestation de mise sous plis et routage;Interministeriel;Regional ou infra;HAUTS DE France;2019 4eme trim;48;entre 1 MEuros et 10 MEuros;2019
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Bordeaux;31 - BDD TOULOUSE - Marche de maintenance des installations electriques (SOS depannage) - BDD (hors DGA) Phase offres;37.02.01;Maintenance instal electr (courant faible et fort, HT-BT);Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2018 decembre;48;entre 1 MEuros et 10 MEuros;2018
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Bordeaux;79 - SAINT MAIXENT - ABOVILLE Construction d'un betiment hebergement EVAT 149 places;36.02.01;Travaux construction betiment neuf;Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2021 2nd trim;12;entre 100 KEuros et 1 MEuros;2021
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Bordeaux;17 - ROCHEFORT - BDD ROCHEFORT - Accord-cadre e bons de commande pour l'execution des travaux d'entretien, de reparation, d'amelioration et d'adaptation mineures dans les immeubles militaires dependant de l'USID de Rochefort relatif au gros-euvre, carrelage, pletrerie, peinture, revetement sol, menuiseries bois et plafonds suspendus;37.03.04;Petits travaux de maeonnerie et cloisons;Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2021 1er trim;48;entre 1 MEuros et 10 MEuros;2021
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Bordeaux;79 - SAINT MAIXENT - BDD SAINT MAIXENT - Maintenance et entretien des alarmes incendie;37.02.08;Maintenance instal systeme de securite incendie (SSI);Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2019 2nd trim;48;entre 100 KEuros et 1 MEuros;2019
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Bordeaux;82 - MONTAUBAN - Restructuration du bet 008 en logements;36.02.02;Travaux de renovation betiment (yc betiments historiques);Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2018 decembre;12;entre 100 KEuros et 1 MEuros;2018
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Bordeaux;86 - POITIERS - Construction de betiments pour le projet SCORPION;36.04.02;Prestation de maetrise d'euvre (MOE);Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2018 decembre;12;entre 1 MEuros et 10 MEuros;2018
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Toulon;BAN- Renovation du casernement LUCAS/LE MARESQUIER- marche de travaux;36.02.02;Travaux de renovation betiment (yc betiments historiques);Ministeriel;Regional ou infra;PACA;2019 3eme trim;12;entre 1 MEuros et 10 MEuros;2019
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Toulon;HYE - BPL - Port avis remplacement ex-Suffren - Diag et levee de doute;36.04.03;etude prealable, audit, expertise lies aux travaux;Ministeriel;Regional ou infra;PACA;2018 decembre;12;entre 100 KEuros et 1 MEuros;2018
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Toulon;BPL - Construction d'un betiment Cibles;36.02.01;Travaux construction betiment neuf;Ministeriel;Regional ou infra;PACA;2019 4eme trim;12;entre 1 MEuros et 10 MEuros;2019
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Toulon;BAN Hyeres : creation d'une caserne SSIS - Etudes;36.04.02;Prestation de maetrise d'euvre (MOE);Ministeriel;Regional ou infra;PACA;2019 4eme trim;12;entre 100 KEuros et 1 MEuros;2019
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Toulon;BPL - Port Avis - Creation d'un terminal roulier;36.02.01;Travaux construction betiment neuf;Ministeriel;Regional ou infra;PACA;2019 4eme trim;12;entre 1 MEuros et 10 MEuros;2019
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Toulon;BNT e FREMM - Adaptation de la partie sud du quai Dupuy de Leme;36.03.04;Travaux de construction de VRD, ouvrages annexes;Ministeriel;Regional ou infra;PACA;2019 4eme trim;12;entre 100 KEuros et 1 MEuros;2019
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Toulon;Saint Mandrier - Construction d'une soute e munitions;36.02.01;Travaux construction betiment neuf;Ministeriel;Regional ou infra;PACA;2020 4eme trim;12;entre 1 MEuros et 10 MEuros;2020
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Toulon;Renovation des betiments K et R pour regroupement de l'OIA plongee et activites Nedex - Renovation du betiment R et du Bob Maloubier;36.02.02;Travaux de renovation betiment (yc betiments historiques);Ministeriel;Regional ou infra;PACA;2020 4eme trim;12;entre 100 KEuros et 1 MEuros;2020
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Toulon;Rehabilitation interieure du betiment Olivier;36.02.03;Travaux de rehabilitation betiment;Ministeriel;Regional ou infra;PACA;2020 4eme trim;12;entre 100 KEuros et 1 MEuros;2020
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Toulon;Construction du CTBRC (Centre de traitement des blesses radio-contamines);36.02.01;Travaux construction betiment neuf;Ministeriel;Regional ou infra;PACA;2020 4eme trim;12;entre 1 MEuros et 10 MEuros;2020
Plateformes regionales des achats de l'Etat;PFRA ILE DE France;Transport de personnes spe handicapes et medicalise;35.03.01;Transport de personnes spe handicapes et medicalise;Interministeriel;Regional ou infra;ILE DE France;2020 2nd trim;48;entre 1 MEuros et 10 MEuros;2020
Plateformes regionales des achats de l'Etat;PFRA ILE DE France;Maintenance chauffage, ventilation, climatisation (CVC);37.02.02;Maintenance chauffage, ventilation, climatisation (CVC);Interministeriel;Regional ou infra;ILE DE France;2019 3eme trim;48;> 10 Meuros;2019
Plateformes regionales des achats de l'Etat;PFRA ILE DE France;Petits travaux de peinture et revetements (sols et murs);37.03.03;Petits travaux de peinture et revetements (sols et murs);Interministeriel;Regional ou infra;ILE DE France;2020 3eme trim;48;> 10 Meuros;2020
Plateformes regionales des achats de l'Etat;PFRA ILE DE France;Formation management, communication et RH;40.02.02;Formation management, communication et RH;Interministeriel;Regional ou infra;ILE DE France;2020 3eme trim;48;entre 1 MEuros et 10 MEuros;2020
Plateformes regionales des achats de l'Etat;PFRA ILE DE France;Travaux de depollution, decontamination;36.02.06;Travaux de depollution, decontamination;Interministeriel;Regional ou infra;ILE DE France;2019 3eme trim;48;entre 1 MEuros et 10 MEuros;2019
Plateformes regionales des achats de l'Etat;PFRA ILE DE France;Demenagement (agent et transfert service) et de garde meuble;35.02.08;Demenagement (agent et transfert service) et de garde meuble;Interministeriel;Regional ou infra;ILE DE France;2018 decembre;48;> 10 Meuros;2018
Plateformes regionales des achats de l'Etat;PFRA ILE DE France;Contrat de maintenance multitechnique;37.05.02;Contrat de maintenance multitechniques;Interministeriel;Regional ou infra;ILE DE France;2019 4eme trim;48;> 10 Meuros;2019
Plateformes regionales des achats de l'Etat;PFRA NORMANDIE;MAINTENANCE ASCENSEUR;37.02.04;Maintenance ascenseur, monte charge, escalier mecanique;Interministeriel;Regional ou infra;NORMANDIE;2018 T4;48;entre 100 KEuros et 1 MEuros;2018
Plateformes regionales des achats de l'Etat;PFRA NORMANDIE;Archivages;35.02.09;Prestation et materiel d'archivage (yc euvre d'art);Interministeriel;Regional ou infra;NORMANDIE;2019 T2;48;A determiner;2019
Plateformes regionales des achats de l'Etat;PFRA NORMANDIE;Ramassage des dechets sur leagglomeration de DIEPPE.;37.01.06;Deratisation, desinfection, desinsectisation;Interministeriel;Regional ou infra;NORMANDIE;2019 T3;48;< 100 KEuros;2019
Plateformes regionales des achats de l'Etat;PFRA NORMANDIE;Service de traduction et deinterpretariat;40.01.11;Services de traduction, interprete;Interministeriel;Regional ou infra;NORMANDIE;2020 T2;48;< 100 KEuros;2020
Plateformes regionales des achats de l'Etat;PFRA NOUVELLE AQUITAINE;Audit des Betiments (Referentiel Thermique et Energie)(autres betiments que les cites BOP 723);36.02.04;Travaux de mise aux normes betiment;Interministeriel;Regional ou infra;NOUVELLE AQUITAINE;2019 2nd trim;48;A determiner;2019
Plateformes regionales des achats de l'Etat;PFRA NOUVELLE AQUITAINE;Services de blanchisserie (traditionnelle et industrielle);41.05.08;Services de blanchisserie (traditionnelle et industrielle);Interministeriel;Regional ou infra;NOUVELLE AQUITAINE;2019 2nd trim;48;A determiner;2019
Plateformes regionales des achats de l'Etat;PFRA OCCITANIE;Formation HSCT;40.02.04;Formation HSCT;Interministeriel;Regional ou infra;OCCITANIE;2020 4eme trim;48;< 100 KEuros;2020
Plateformes regionales des achats de l'Etat;PFRA OCCITANIE;Collecte, traitement dechet non dang, yc dechets indus banals;41.06.01;Collect, traitement dechet non dang, yc dechets indus banals;Interministeriel;Regional ou infra;OCCITANIE;2019 4eme trim;48;entre 100 KEuros et 1 MEuros;2019
Plateformes regionales des achats de l'Etat;PFRA OCCITANIE;separation des hydrocarbures avec entretien des fosses de relevage eaux usees-pluviales.;37.02.02;Maintenance chauffage, ventilation, climatisation (CVC);Interministeriel;Regional ou infra;OCCITANIE;2019 4eme trim;48;entre 100 KEuros et 1 MEuros;2019
Plateformes regionales des achats de l'Etat;PFRA PAYS DE LA LOIRE;Maintenance instal systeme de securite incendie (SSI);37.02.08;Maintenance instal systeme de securite incendie (SSI);Interministeriel;Regional ou infra;PAYS DE LA LOIRE;2019 2nd trim;48;entre 1 MEuros et 10 MEuros;2019
Plateformes regionales des achats de l'Etat;PFRA PACA;etude prealable, audit, expertise lies aux travaux;36.04.03;etude prealable, audit, expertise lies aux travaux;Interministeriel;Regional ou infra;PACA;2019 3eme trim;48;A determiner;2019
Direction des achats de l'Etat;DAE;Acquisition stockage/sauvegarde;33.03.04;Serveurs informatique (tout type);Interministeriel;National;;2018 octobre;48;A determiner;2018
Direction des achats de l'Etat;DAE;Veille documentaire,  retranscription, enregistrement et montage audio et video sur les medias audiovisuels;38.02.01;Creation conception supports de communication;Interministeriel;National;;2018 octobre;48;A determiner;2018
Direction des achats de l'Etat;DAE;Guide des sources juridiques public en libre acces;41.01.04;Base de donnees documentaires;Interministeriel;National;;2018 decembre;48;A determiner;2018
Direction des achats de l'Etat;DAE;Solutions materielles de traitement du courrier des services de leetate: ouvre-lettre et mise sous pli;35.01.02;Materiel traitement du courrier;Interministeriel;National;;2019 1er trim;48;A determiner;2019
Ministere de l'Education nationale, et l'Enseignement superieur, de la Recherche et de l'Innovation;DELCOM;Prestations de conception, de realisation et d'execution graphique avec ou sans creation;38.02.01;Creation conception supports de communication;Ministeriel;Administration centrale;;2020 3eme trim;48;entre 100 KEuros et 1 MEuros;2020
Ministere de l'Education nationale, et l'Enseignement superieur, de la Recherche et de l'Innovation;DELCOM;Realisation de prestations dans le cadre de salons generalistes e Paris et en porvince pour le compte du MENESR;38.02.02;Prestations evenementiel;Ministeriel;Administration centrale;;2019 1er trim;48;entre 100 KEuros et 1 MEuros;2019
Ministere de l'Education nationale, et l'Enseignement superieur, de la Recherche et de l'Innovation;DELCOM;Enquetes et analyses opinion : lot 7 Etudes qualitatives sociologiques par entretiens individuels;40.01.07;Enquete et sondage;Interministeriel;Administration centrale;;2019 3eme trim;48;< 100 KEuros;2019
Ministere de l'Education nationale, et l'Enseignement superieur, de la Recherche et de l'Innovation;SAAM D;Prestations de petite manutention interne et prestations techniques deinstallation deequipement de mobilier pour les MEN et MESRI;35.02.06;Prestations de logistique (manutention et gestion stock);Ministeriel;Administration centrale;;2019 1er trim;48;entre 100 KEuros et 1 MEuros;2019
Ministere de l'Education nationale, et l'Enseignement superieur, de la Recherche et de l'Innovation;SAAM D;Location d'une presse numerique pour l'atelier;39.01.03;Location copieur (hors consommable et maintenance);Ministeriel;Administration centrale;;2020 1er trim;36;entre 1 MEuros et 10 MEuros;2020
Ministere de l'Education nationale, et l'Enseignement superieur, de la Recherche et de l'Innovation;SAAM D;Location et maintenance de copieurs numeriques connectes polychromes pour l'atelier de reprographie du site Grenelle;39.01.03;Location copieur (hors consommable et maintenance);Ministeriel;Administration centrale;;2020 2nd trim;36;entre 100 KEuros et 1 MEuros;2020
Ministere de l'Education nationale, et l'Enseignement superieur, de la Recherche et de l'Innovation;SAAM D;Prestations d'accueil - Site Descartes;45.05.04;Prestations centre d'appel, hotline, standard telephonique;Ministeriel;Administration centrale;;2020 4eme trim;48;entre 100 KEuros et 1 MEuros;2020
Ministere de l'Education nationale, et l'Enseignement superieur, de la Recherche et de l'Innovation;ESENESR;Marche pour l'accessibilite du site web de l'ESENESR;33.04.06;Forfait de developpement;Ministeriel;Administration centrale;;2019 1er trim;24;entre 100 KEuros et 1 MEuros;2019
Ministere de l'Education nationale, et l'Enseignement superieur, de la Recherche et de l'Innovation;ESENESR;Marche reamenagement CDR - learning center;36.02.02;Travaux de renovation betiment (yc betiments historiques);Ministeriel;Administration centrale;;2019 4eme trim;12;entre 100 KEuros et 1 MEuros;2019
Ministere de l'Education nationale, et l'Enseignement superieur, de la Recherche et de l'Innovation;ESENESR;Marche reamenagement de 35 salles de formation;41.03.01;Achat mobilier de bureau;Ministeriel;Administration centrale;;2019 4eme trim;12;entre 100 KEuros et 1 MEuros;2019
Ministere de l'Education nationale, et l'Enseignement superieur, de la Recherche et de l'Innovation;DEPP;Redevances location licences SAS;33.02.06;Redevance concession brevet licence logiciel droit auteur;Ministeriel;Administration centrale;;2021 4eme trim;48;entre 100 KEuros et 1 MEuros;2021
Ministere de l'Education nationale, et l'Enseignement superieur, de la Recherche et de l'Innovation;DEPP;TMA ETIC Outil pour le pilotage et les statistiques sur le numerique e l'ecole;33.04.09;Tierce Maintenance Applicative (TMA);Ministeriel;Administration centrale;;2020 4eme trim;48;entre 100 KEuros et 1 MEuros;2020
Ministere de l'Education nationale, et l'Enseignement superieur, de la Recherche et de l'Innovation;DNE B;SAD Infrastructures Lot Stockage distribue;33.05.03;equipement reseaux de donnees;Ministeriel;National;;2019 2nd trim;72;entre 100 KEuros et 1 MEuros;2019
Ministere de l'Education nationale, et l'Enseignement superieur, de la Recherche et de l'Innovation;DNE B;Datacenter - Logiciel de Stockage Distribue StorageGrid;33.03.06;Location de materiel informatique tout type;Ministeriel;National;;2020 4eme trim;48;entre 1 MEuros et 10 MEuros;2020
Ministere de l'Education nationale, et l'Enseignement superieur, de la Recherche et de l'Innovation;DNE B;Maintenance / Extension - Dell;33.03.04;Serveurs informatique (tout type);Ministeriel;National;;2020 4eme trim;48;entre 1 MEuros et 10 MEuros;2020
Ministere de l'Education nationale, et l'Enseignement superieur, de la Recherche et de l'Innovation;DNE B;Logiciels de l'editeur Adobe;33.02.06;Redevance concession brevet licence logiciel droit auteur;Ministeriel;National;;2020 4eme trim;48;entre 100 KEuros et 1 MEuros;2020
Ministere de l'Education nationale, et l'Enseignement superieur, de la Recherche et de l'Innovation;DNEA3;Prestations de conseil et deassistance juridiques pour leaccompagnement, la mise en oeuvre et les usages des services et ressources numeriques pour leeducation, pour le compte du ministere charge de leeducation nationale.;40.03.01;Conseil et expertise juridique;Ministeriel;Administration centrale;;2019 1er trim;48;entre 100 KEuros et 1 MEuros;2019
Ministere de l'Education nationale, et l'Enseignement superieur, de la Recherche et de l'Innovation;DNEA3;Prestations deassistance e maetrise deouvrage et deetudes pour la mise en euvre des projets de services numeriques pour leeducationpour le compte du ministere charge de leeducation nationale;;;Ministeriel;Administration centrale;;2020 1er trim;48;entre 1 MEuros et 10 MEuros;2020
Ministere de l'Education nationale, et l'Enseignement superieur, de la Recherche et de l'Innovation;DGESIP DGRI SIES;TMA ANNELIS;33.04.09;Tierce Maintenance Applicative (TMA);Ministeriel;Administration centrale;;2019 3eme trim;A determiner;entre 100 KEuros et 1 MEuros;2019
Ministere de la Justice;SG/SSIC;"Fourniture de l'acces au reseau et acheminement des communications pour la telephonie fixe dans les departements d'Outre-mer (""TELEFOM"") - LOT ne 4 - Acheminement des communications pour Mayotte";33.01.04;Services telephonie fixe;Ministeriel;National;;2019 2nd trim;48;< 100 KEuros;2019
Ministere de la Justice;DIR SUD EST (Marseille);Fourniture et livraison d'articles de maeonnnerie, pletretie pour les etablissements penitentiaires situes en Corse;44.03.14;Autres fournitures et petit equipement;Ministeriel;Regional ou infra;PACA;2021 4eme trim;48;< 100 KEuros;2021
Ministere de la Justice;DISP GRAND OUEST (Rennes);Divers etablissements - prestation de nettoyage des locaux;45.05.07;Autres prestations et services;Ministeriel;Inter-regionnal;BRETAGNE;2021 2nd trim;48;< 100 KEuros;2021
Ministere de la Justice;DAP AC;Founiture et livraison de platerie;41.04.06;Materiel de restauration collective;Ministeriel;National;;2020 4eme trim;48;< 100 KEuros;2020
Ministere de la Justice;CA PARIS;Enlevement et elmination des dechets de la COUR D'APPEL DE PARIS - CA PARIS;41.06.01;Collect, traitement dechet non dang, yc dechets indus banals;Ministeriel;Regional ou infra;ILE DE France;2018 octobre;48;entre 100 KEuros et 1 MEuros;2018
Ministere de la Justice;CA BASTIA;Loyer locaux archives Ajaccio;36.01.02;Loyers prives hors logement;Ministeriel;Regional ou infra;CORSE;2018 octobre;108;entre 100 KEuros et 1 MEuros;2018
Ministere de la Justice;CA BORDEAUX;Exploitation, maintenance et entretien des installations techniques du Palais de Justice de Perigueux;37.05.02;Contrat de maintenance multitechniques;Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2019 4eme trim;36;entre 100 KEuros et 1 MEuros;2019
Ministere de la Justice;CA PARIS;ACEM DES BATIMENTS DU PALAIS DE JUSTICE DE MEAUX - AJ MEAUX;40.01.06;Conseil et expertise metier yc recherche et developpement;Ministeriel;Regional ou infra;ILE DE France;2019 4eme trim;48;entre 100 KEuros et 1 MEuros;2019
Ministere de la Justice;DISP GRAND-OUEST (Rennes);NANTES CP e mise en place d'une cleture au QMA Nantes;36.02.03;Travaux de rehabilitation betiment;Ministeriel;Regional ou infra;BRETAGNE;2019 3eme trim;36;entre 100 KEuros et 1 MEuros;2019
Ministere de la Justice;CA LIMOGES;Maintenance multitechnique de la cite judiciaire de Limoges (TGI / TI / TC);37.05.02;Contrat de maintenance multitechniques;Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2020 4eme trim;48;entre 100 KEuros et 1 MEuros;2020
Ministere de la Justice;DISP ILE-DE-FRANCE (Paris);Fournitures et livraison de couverture pour les EP de la DISP;41.05.01;Produits textiles (tissus);Ministeriel;Inter-regionnal;ILE DE France;2019 3eme trim;48;entre 100 KEuros et 1 MEuros;2019
Ministere de la Justice;SG/SSIC;"Fourniture de l'acces au reseau et acheminement des communications pour la telephonie fixe dans les departements d'Outre-mer (""TELEFOM"")  LOT ne 1  - Acces au reseau : Martinique, Guadeloupe, Guyane, Reunion, Saint Barthelemy et Saint Martin";33.01.04;Services telephonie fixe;Ministeriel;Regional ou infra;;2019 2nd trim;48;entre 100 KEuros et 1 MEuros;2019
Ministere de la Justice;CA PAU;Marche forfaitaire nettoyage;37.01.01;Nettoyage courant (bureau, hetellerie, plonge);Ministeriel;Inter-regionnal;OCCITANIE;2020 1er trim;36;entre 100 KEuros et 1 MEuros;2020
Ministere de la Justice;CA RENNES;Prestations de securite et de serete du Palais de Justice de Nantes;37.01.04;Services de gardiennage et de securite;Ministeriel;Regional ou infra;BRETAGNE;2018 octobre;36;entre 1 MEuros et 10 MEuros;2018
Ministere de la Justice;DAP;Fourniture et livraison de produits de bazar, entretien et hygiene;44.03.14;Autres fournitures et petit equipement;Ministeriel;National;;2019 1er trim;48;entre 1 MEuros et 10 MEuros;2019
Ministere de la Justice;CA PARIS;Exploitation et maintenance multitechnique du PALAIS DE JUSTICE DE MELUN - AJ MELUN;37.05.02;Contrat de maintenance multitechniques;Ministeriel;Regional ou infra;ILE DE France;2018 octobre;48;entre 1 MEuros et 10 MEuros;2018
Ministere de la Justice;DAP AC;Billetterie de transferements de detenus;34.02.01;Avion, helicoptere et autres aeronefs civils yc pieces deta;Ministeriel;National;;2019 4eme trim;48;entre 1 MEuros et 10 MEuros;2019
Ministere de la Justice;CA PARIS;Autocom Cour de cassation, CA PARIS ET TRIBUNAL DE PARIS - CA PARIS;33.01.03;equipement de telephonie fixe, yc autommutateur (PABX);Ministeriel;Regional ou infra;ILE DE France;2020 4eme trim;48;entre 1 MEuros et 10 MEuros;2020
